"Item Code","Item Group","Default Unit of Measure","Barcode (Barcodes)","Company (Item Defaults)","Supplier (Supplier Items)","Ref Code (Customer Items)"
"Passionfruit Squash","Raw Material","Millilitre","","PCS Healthy Creation","เซ็นทรัล ฟู้ด รีเทล",""
"Lychee Squash","Raw Material","Millilitre","","PCS Healthy Creation","เซ็นทรัล ฟู้ด รีเทล",""
"Blueberry Squash","Raw Material","Millilitre","","PCS Healthy Creation","เซ็นทรัล ฟู้ด รีเทล",""
"Boiled Chicken","Semi-Products","Gram","","PCS Healthy Creation","",""
"Red Color","Raw Material","Millilitre","","PCS Healthy Creation","",""
"Purple Color","Raw Material","Millilitre","","PCS Healthy Creation","",""
"Pink Color","Raw Material","Millilitre","","PCS Healthy Creation","",""
"Yellow Color","Raw Material","Millilitre","","PCS Healthy Creation","",""
"Thai Tea Flavor","Raw Material","Gram","","PCS Healthy Creation","",""
"Chocolate Flavor","Raw Material","Gram","","PCS Healthy Creation","",""
"Vanilla Flavor","Raw Material","Gram","","PCS Healthy Creation","",""
"Strawberry Flavor","Raw Material","Gram","","PCS Healthy Creation","KH ROBERTS",""
"Lychee Flavor","Raw Material","Gram","","PCS Healthy Creation","KH ROBERTS",""
"Mix berry Flavor","Raw Material","Gram","","PCS Healthy Creation","KH ROBERTS",""
"White Peach Flavor","Raw Material","Gram","","PCS Healthy Creation","KH ROBERTS",""
"Yoghurt Flavor","Raw Material","Gram","","PCS Healthy Creation","KH ROBERTS",""
"Coconut Oil","Raw Material","Gram","","PCS Healthy Creation","เยียระกานต์",""
"Fiber Creamer","Raw Material","Gram","","PCS Healthy Creation","พรีโม เทรดดิ้ง",""
"Plant Protien","Raw Material","Gram","","PCS Healthy Creation","",""
"Lychee Fruit","Raw Material","Gram","","PCS Healthy Creation","ซีพี แอ๊กซ์ตร้า",""
"Passionfruit Fruit","Raw Material","Gram","","PCS Healthy Creation","ซีพี แอ๊กซ์ตร้า",""
"Blueberry Fruit","Raw Material","Gram","","PCS Healthy Creation","ซีพี แอ๊กซ์ตร้า",""
"Mal","Raw Material","Gram","","PCS Healthy Creation","",""
"Strawberry Fruit","Raw Material","Gram","","PCS Healthy Creation","ซีพี แอ๊กซ์ตร้า",""
"Almond Milk","Semi-Products","Millilitre","","PCS Healthy Creation","",""
"Water","Raw Material","Litre","","PCS Healthy Creation","",""
"Thai Tea Powder (Triva)","Raw Material","Gram","","PCS Healthy Creation","ที.เอ.ซี. คอนซูเมอร์",""
"Black Tea Powder","Raw Material","Gram","","PCS Healthy Creation","เค ซี อินเตอร์ฟูดส์",""
"Coffee Powder","Raw Material","Gram","","PCS Healthy Creation","เซ็นทรัล ฟู้ด รีเทล",""
"Matcha Powder","Raw Material","Gram","","PCS Healthy Creation","โพลาร์ แบร์ มิชชั่น",""
"Cacao Powder","Raw Material","Gram","","PCS Healthy Creation","บีเจซี สเปเชียลตี้ส์",""
"วินเนอร์กลิ่นวนิลลา","Raw Material","Gram/Cubic Millimeter","","PCS Healthy Creation","ณายลอย เบเกอรี่",""
"แอลมอนด์เม็ดเต็ม","Raw Material","Kg","","PCS Healthy Creation","ณายลอย เบเกอรี่",""
"Malic","Raw Material","Gram","","PCS Healthy Creation","เพชร เฟลเวอร์ โปรดักส์",""
"","","","","","กรุงเทพเคมี",""
"Glycine","Raw Material","Gram","","PCS Healthy Creation","กรุงเทพเคมี",""
"","","","","","เพชรคู่ เคมีคอล",""
"Xanthan","Raw Material","Gram","","PCS Healthy Creation","กรุงเทพเคมี",""
"","","","","","เพชรคู่ เคมีคอล",""
"CMC","Raw Material","Gram","","PCS Healthy Creation","กรุงเทพเคมี",""
"","","","","","เพชรคู่ เคมีคอล",""
"Guar Gum","Raw Material","Gram","","PCS Healthy Creation","กรุงเทพเคมี",""
"","","","","","เพชรคู่ เคมีคอล",""
"Lactic Acid","Raw Material","Gram","","PCS Healthy Creation","กรุงเทพเคมี",""
"Passionfruit Flavor","Raw Material","Gram","","PCS Healthy Creation","กรุงเทพเคมี",""
"Citric Acid","Raw Material","Gram","","PCS Healthy Creation","กรุงเทพเคมี",""
"","","","","","เพชร เฟลเวอร์ โปรดักส์",""
"Sucralose","Raw Material","Gram","","PCS Healthy Creation","ทริปเปิ้ลไนน์ โซลูชั่น",""
"","","","","","เพชร เฟลเวอร์ โปรดักส์",""
"Chicken","Raw Material","Kg","","PCS Healthy Creation","เบทาโกรเกษตรอุตสาหกรรม",""
"","","","","","เอ็มพี 9564",""
"PB_ThaiTea","Products","ขวด","8857128009239","PCS Healthy Creation","",""
"PB_Acai","Products","ขวด","8857128009222","PCS Healthy Creation","",""
"PB_Cacao","Products","ขวด","8857128009215","PCS Healthy Creation","",""
"PB_Natural","Products","ขวด","8857128009208","PCS Healthy Creation","",""
"CK_ThaiTea","Products","ขวด","8857128009062","PCS Healthy Creation","",""
"CK_Latte","Products","ขวด","8857128009055","PCS Healthy Creation","",""
"CK_Matcha","Products","ขวด","8857128009048","PCS Healthy Creation","",""
"CK_Cacao","Products","ขวด","8857128009031","PCS Healthy Creation","",""
"CK_Mango","Products","ขวด","8857128009154","PCS Healthy Creation","",""
"CK_Lychee","Products","ขวด","8857128009185","PCS Healthy Creation","",""
"CK_Blueberry","Products","ขวด","8857128009161","PCS Healthy Creation","",""
"CK_Peach","Products","ขวด","8857128009024","PCS Healthy Creation","",""
"CK_Strawberry","Products","ขวด","8857128009017","PCS Healthy Creation","",""
