"Item Code","Item Group","Default Unit of Measure","Supplier Part Number (Supplier Items)"
"Passionfruit Squash","Raw Material","Millilitre",""
"Lychee Squash","Raw Material","Millilitre",""
"Blueberry Squash","Raw Material","Millilitre",""
"Boiled Chicken","Semi-Products","Gram",""
"Red Color","Raw Material","Millilitre",""
"Purple Color","Raw Material","Millilitre",""
"Pink Color","Raw Material","Millilitre",""
"Chocolate Flavor","Raw Material","Gram",""
"Lychee Flavor","Raw Material","Gram","FLYC86909S25K"
"Mix berry Flavor","Raw Material","Gram","ECMB00277S05K"
"Coconut Oil","Raw Material","Gram","4010400001"
"Fiber Creamer","Raw Material","Gram","FP072CN00.25"
"Lychee Fruit","Raw Material","Gram",""
"Passionfruit Fruit","Raw Material","Gram",""
"Blueberry Fruit","Raw Material","Gram",""
"Mal","Raw Material","Gram",""
"Almond Milk","Semi-Products","Millilitre",""
"Black Tea Powder","Raw Material","Gram","KC030"
"Coffee Powder","Raw Material","Gram","8850124080271"
"Matcha Powder","Raw Material","Gram","34393"
"Cacao Powder","Raw Material","Gram","CSFSL12YF118"
"แอลมอนด์เม็ดเต็ม","Raw Material","Kg","แอลมอนด์เม็ดเต็ม(บรรจุ11.34:กล่อง)สินค้าusa"
"Malic","Raw Material","Gram","56-65MA03"
"","","","F022MA-B-25KG"
"Glycine","Raw Material","Gram","F024GC-B-25KG"
"","","","56-65GC01"
"CMC","Raw Material","Gram","F010CMC-C-25KG"
"","","","56-65CM1800"
"Guar Gum","Raw Material","Gram","F011GG-D-25KG"
"","","","56-65GGP1"
"Lactic Acid","Raw Material","Gram","F036LA-B-25KG"
"Passionfruit Flavor","Raw Material","Gram","W036PS-D-1KG"
"Citric Acid","Raw Material","Gram","F003CM-C-25KG"
"","","","56-65CA001"
"Chicken","Raw Material","Kg","H000005596"
"","","","105"
"PB_Acai","Products","ขวด",""
"CK_ThaiTea","Products","ขวด",""
"CK_Latte","Products","ขวด",""
"CK_Matcha","Products","ขวด",""
"CK_Cacao","Products","ขวด",""
"CK_Mango","Products","ขวด",""
"CK_Lychee","Products","ขวด",""
"CK_Blueberry","Products","ขวด",""
"CK_Peach","Products","ขวด",""
"CK_Strawberry","Products","ขวด",""
